material_id,cif_path,formula,space_group,system,anion_type,log_sigma
MAT-001,../../../../cif/MAT-001__原始73_001__Na11.99Sc8P12O48__Cc_no9__row113.cif,Na11.99Sc8P12O48,Cc (9),NASICON,oxide,-3.5228787452803374
MAT-002,../../../../cif/MAT-002__原始73_002__Na12.04Zr8Si8.04P3.96O48__C2_c_no15__row114.cif,Na12.04Zr8Si8.04P3.96O48,C2/c (15),NASICON,oxide,-2.9355420107730814
MAT-003,../../../../cif/MAT-003__原始73_003__Na12.4Zr7.6Si8Sb0.4P4O48__P1_no1__row141.cif,Na12.4Zr7.6Si8Sb0.4P4O48,P1 (1),NASICON,oxide,-2.7399286120149253
MAT-004,../../../../cif/MAT-004__原始73_004__Na12Sc8P12O48__Cc_no9__row111.cif,Na3Sc2(PO4)3,Cc (9),NASICON,oxide,-3.5228787452803374
MAT-005,../../../../cif/MAT-005__原始73_005__Na12Sc8P12O48__Cc_no9__row120.cif,Na3Sc2(PO4)3,Cc (9),NASICON,oxide,-3.5228787452803374
MAT-006,../../../../cif/MAT-006__原始73_015__Na13.6Yb0.4Zr6.4Sc1.2Si8P4O48__P1_no1__row143.cif,Na13.6Yb0.4Zr6.4Sc1.2Si8P4O48,P1 (1),NASICON,oxide,-2.7904849854573692
MAT-007,../../../../cif/MAT-007__原始73_016__Na13.6Zr6.4Sc1.6Si8P4O48__P1_no1__row144.cif,Na13.6Zr6.4Sc1.6Si8P4O48,P1 (1),NASICON,oxide,-2.3979400086720375
MAT-008,../../../../cif/MAT-008__原始73_017__Na14Mg1Zr7Si8P4O48__P-1_no2__row150.cif,Na14MgZr7Si8(PO12)4,P-1 (2),NASICON,oxide,-2.619788758288394
MAT-009,../../../../cif/MAT-009__原始73_018__Na17.994Sc12P18O72__R-3c_no167__row112.cif,Na17.994Sc12P18O72,R-3c (167),NASICON,oxide,-3.5228787452803374
MAT-010,../../../../cif/MAT-010__原始73_019__Na18Sc12P18O72__Cc_no9__row121.cif,Na3Sc2(PO4)3,Cc (9),NASICON,oxide,-3.5228787452803374
MAT-015,../../../../cif/MAT-015__原始73_025__Na3P1S4__I-43m_no217__row080.cif,Na3PS4,I-43m (217),sulfide,sulfide,-3.036212172654445
MAT-016,../../../../cif/MAT-016__原始73_026__Na3P1Se4__I-43m_no217__row003.cif,Na3PSe4,I-43m (217),sulfide,sulfide,-2.9355420107730814
MAT-017,../../../../cif/MAT-017__原始73_027__Na3P1Se4__I-43m_no217__row007.cif,Na3PSe4,I-43m (217),sulfide,sulfide,-2.9355420107730814
MAT-018,../../../../cif/MAT-018__原始73_028__Na3Sb1S4__I-43m_no217__row042.cif,Na3SbS4,I-43m (217),sulfide,sulfide,-2.5086383061657274
MAT-023,../../../../cif/MAT-023__原始73_033__Na3Sb1Se4__I-43m_no217__row004.cif,Na3SbSe4,I-43m (217),sulfide,sulfide,-3.070581074285707
MAT-024,../../../../cif/MAT-024__Mn02_NZSP_Na3.4Zr1.8Mn0.2Si2PO12_C2c-024.cif,Na13.6Zr7.2Mn0.8Si8P4O48,C2/c (15),NASICON,oxide,-2.4814860601221125
MAT-025,../../../../cif/MAT-025__原始73_035__Na6P2S8__I-43m_no217__row083.cif,Na3PS4,I-43m (217),sulfide,sulfide,-3.036212172654445
MAT-026,../../../../cif/MAT-026__原始73_036__Na6P2S8__P-42_1c_no114__row035.cif,Na3PS4,P-42_1c (114),sulfide,sulfide,-2.469800301796918
MAT-027,../../../../cif/MAT-027__原始73_037__Na6P2S8__P-42_1c_no114__row040.cif,Na3PS4,P-42_1c (114),sulfide,sulfide,-2.469800301796918
MAT-028,../../../../cif/MAT-028__原始73_038__Na6P2S8__P-42_1c_no114__row074.cif,Na3PS4,P-42_1c (114),sulfide,sulfide,-3.036212172654445
MAT-035,../../../../cif/MAT-035__原始73_045__Na6P2S8__P-42_1c_no114__row082.cif,Na3PS4,P-42_1c (114),sulfide,sulfide,-3.036212172654445
MAT-036,../../../../cif/MAT-036__Na3SbS4_P-421c_average-064.cif,Na3SbS4,P-42_1c (114),sulfide,sulfide,-2.6777807052660805
MAT-037,../../../../cif/MAT-037__原始73_047__Na6Sb2S8__P-42_1c_no114__row088.cif,Na3SbS4,P-42_1c (114),sulfide,sulfide,-2.5228787452803374
MAT-038,../../../../cif/MAT-038__原始73_048__Na6Sb2Se8__I-43m_no217__row002.cif,Na3SbSe4,I-43m (217),sulfide,sulfide,-3.070581074285707
MAT-039,../../../../cif/MAT-039__原始73_049__Na6Sc4P6O24__C2_c_no15__row117.cif,Na3Sc2(PO4)3,C2/c (15),NASICON,oxide,-3.517126416391246
MAT-040,../../../../cif/MAT-040__原始73_050__Na6Sc4P6O24__Cc_no9__row118.cif,Na3Sc2(PO4)3,Cc (9),NASICON,oxide,-3.517126416391246
MAT-041,../../../../cif/MAT-041__原始73_051__Na6Sc4P6O24__Cc_no9__row119.cif,Na3Sc2(PO4)3,Cc (9),NASICON,oxide,-3.517126416391246
MAT-042,../../../../cif/MAT-042__原始73_052__Na6Sc4P6O24__R-3c_no167__row122.cif,Na3Sc2(PO4)3,R-3c (167),NASICON,oxide,-3.517126416391246
MAT-043,../../../../cif/MAT-043__na11sn2ps12-043.cif,Na11Sn2PS12,P4_3 (78),sulfide,sulfide,-2.431798275933005
MAT-044,../../../../cif/MAT-044__na11sn2sbs12-044.cif,Na11Sn2PS12,P1 (1),sulfide,sulfide,-3.2518119729937993
