descriptor,structure,setting_id,shell_tolerance,min_shell_size,value
a2_max_dist,high_sym_small_cell,1,0.6,4,2.8200000000000003
coordination_number_mean,high_sym_small_cell,1,0.6,4,2.0
covalency_index,high_sym_small_cell,1,0.6,4,0.7115475428918885
direction_ratio,high_sym_small_cell,1,0.6,4,1.0000000000000002
ellipsoid_oblateness,high_sym_small_cell,1,0.6,4,
framework_bond_rigidity,high_sym_small_cell,1,0.6,4,
framework_na_distance_stability,high_sym_small_cell,1,0.6,4,
framework_poly_distortion,high_sym_small_cell,1,0.6,4,
framework_sharing_topology,high_sym_small_cell,1,0.6,4,
max_bond_length,high_sym_small_cell,1,0.6,4,2.8200000000000003
mean_bond_length,high_sym_small_cell,1,0.6,4,2.82
min_bond_length,high_sym_small_cell,1,0.6,4,2.8199999999999994
na_x_en_diff,high_sym_small_cell,1,0.6,4,2.23
poly_distortion_mean,high_sym_small_cell,1,0.6,4,1.5747844320924207e-16
poly_volume_mean,high_sym_small_cell,1,0.6,4,89.70307199999999
target_bond_center,high_sym_small_cell,1,0.6,4,2.83
a2_max_dist,high_sym_small_cell,2,0.6,0,2.8200000000000003
coordination_number_mean,high_sym_small_cell,2,0.6,0,2.0
covalency_index,high_sym_small_cell,2,0.6,0,0.7115475428918885
direction_ratio,high_sym_small_cell,2,0.6,0,1.0000000000000002
ellipsoid_oblateness,high_sym_small_cell,2,0.6,0,
framework_bond_rigidity,high_sym_small_cell,2,0.6,0,
framework_na_distance_stability,high_sym_small_cell,2,0.6,0,
framework_poly_distortion,high_sym_small_cell,2,0.6,0,
framework_sharing_topology,high_sym_small_cell,2,0.6,0,
max_bond_length,high_sym_small_cell,2,0.6,0,2.8200000000000003
mean_bond_length,high_sym_small_cell,2,0.6,0,2.82
min_bond_length,high_sym_small_cell,2,0.6,0,2.8199999999999994
na_x_en_diff,high_sym_small_cell,2,0.6,0,2.23
poly_distortion_mean,high_sym_small_cell,2,0.6,0,1.5747844320924207e-16
poly_volume_mean,high_sym_small_cell,2,0.6,0,89.70307199999999
target_bond_center,high_sym_small_cell,2,0.6,0,2.83
a2_max_dist,high_sym_small_cell,3,0.7,4,2.8200000000000003
coordination_number_mean,high_sym_small_cell,3,0.7,4,2.0
covalency_index,high_sym_small_cell,3,0.7,4,0.7115475428918885
direction_ratio,high_sym_small_cell,3,0.7,4,1.0000000000000002
ellipsoid_oblateness,high_sym_small_cell,3,0.7,4,
framework_bond_rigidity,high_sym_small_cell,3,0.7,4,
framework_na_distance_stability,high_sym_small_cell,3,0.7,4,
framework_poly_distortion,high_sym_small_cell,3,0.7,4,
framework_sharing_topology,high_sym_small_cell,3,0.7,4,
max_bond_length,high_sym_small_cell,3,0.7,4,2.8200000000000003
mean_bond_length,high_sym_small_cell,3,0.7,4,2.82
min_bond_length,high_sym_small_cell,3,0.7,4,2.8199999999999994
na_x_en_diff,high_sym_small_cell,3,0.7,4,2.23
poly_distortion_mean,high_sym_small_cell,3,0.7,4,1.5747844320924207e-16
poly_volume_mean,high_sym_small_cell,3,0.7,4,89.70307199999999
