descriptor,transform,structure,value_before,value_after,ratio,verdict,dimension_declaration_conflict
a2_max_dist,site_permutation,high_sym_small_cell,2.8200000000000003,2.8200000000000003,,invariant,n/a
poly_distortion_mean,site_permutation,high_sym_small_cell,1.5747844320924207e-16,1.5747844320924207e-16,,invariant,n/a
max_bond_length,site_permutation,high_sym_small_cell,2.8200000000000003,2.8200000000000003,,invariant,n/a
min_bond_length,site_permutation,high_sym_small_cell,2.8199999999999994,2.8199999999999994,,invariant,n/a
mean_bond_length,site_permutation,high_sym_small_cell,2.82,2.82,,invariant,n/a
target_bond_center,site_permutation,high_sym_small_cell,2.83,2.83,,invariant,n/a
poly_volume_mean,site_permutation,high_sym_small_cell,89.70307199999999,89.70307199999999,,invariant,n/a
coordination_number_mean,site_permutation,high_sym_small_cell,2.0,2.0,,invariant,n/a
ellipsoid_oblateness,site_permutation,high_sym_small_cell,nan,nan,n/a,nan_both,n/a
direction_ratio,site_permutation,high_sym_small_cell,1.0000000000000002,1.0000000000000002,,invariant,n/a
bottleneck_anisotropy,site_permutation,high_sym_small_cell,nan,nan,n/a,nan_both,n/a
nana_composite,site_permutation,high_sym_small_cell,nan,nan,n/a,nan_both,n/a
avg_na_neighbors,site_permutation,high_sym_small_cell,nan,nan,n/a,nan_both,n/a
largest_component_ratio,site_permutation,high_sym_small_cell,nan,nan,n/a,nan_both,n/a
network_dimension,site_permutation,high_sym_small_cell,nan,nan,n/a,nan_both,n/a
component_count,site_permutation,high_sym_small_cell,1.0,1.0,,invariant,n/a
na_concentration,site_permutation,high_sym_small_cell,0.5,0.5,,invariant,n/a
na_occupancy_sum,site_permutation,high_sym_small_cell,1.0,1.0,,invariant,n/a
na_site_count,site_permutation,high_sym_small_cell,1.0,1.0,,invariant,n/a
interstitial_count,site_permutation,high_sym_small_cell,2.0,2.0,,invariant,n/a
interstitial_na_distance,site_permutation,high_sym_small_cell,4.2299999999999995,4.2299999999999995,,invariant,n/a
interstitial_channel_access,site_permutation,high_sym_small_cell,0.0,0.0,,invariant,n/a
interstitial_network_dim,site_permutation,high_sym_small_cell,2.0,2.0,,invariant,n/a
bvse_barrier_estimate,site_permutation,high_sym_small_cell,nan,nan,n/a,nan_both,n/a
framework_bond_rigidity,site_permutation,high_sym_small_cell,nan,nan,n/a,nan_both,n/a
framework_poly_distortion,site_permutation,high_sym_small_cell,nan,nan,n/a,nan_both,n/a
framework_na_distance_stability,site_permutation,high_sym_small_cell,nan,nan,n/a,nan_both,n/a
framework_sharing_topology,site_permutation,high_sym_small_cell,nan,nan,n/a,nan_both,n/a
nana_nana_angle_mean,site_permutation,high_sym_small_cell,nan,nan,n/a,nan_both,n/a
nana_second_neighbor_dist,site_permutation,high_sym_small_cell,nan,nan,n/a,nan_both,n/a
path_tortuosity,site_permutation,high_sym_small_cell,nan,nan,n/a,nan_both,n/a
nana_spacing_uniformity,site_permutation,high_sym_small_cell,nan,nan,n/a,nan_both,n/a
na_x_en_diff,site_permutation,high_sym_small_cell,2.23,2.23,,invariant,n/a
charge_balance_deviation,site_permutation,high_sym_small_cell,0.0,0.0,,invariant,n/a
