auid,compound,status,output_file,source_file,source_url,aurl,catalog,species,nspecies,natoms,spacegroup_orig,spacegroup_relax,pearson_orig,pearson_relax,prototype_orig,prototype_relax,band_gap_eV,formation_enthalpy_eV_atom,aflowlib_date,aflowlib_version,error
aflow:0015a3db328a3b49,Cl2H12Na2O10,skipped_existing,E:\work\worklist\pull_file\aflow\aflow_cif\cif\Cl2H12Na2O10__ICSD__0015a3db328a3b49.cif,,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TRI/Cl1H6Na1O5_ICSD_1858,ICSD,"Cl,H,Na,O",4,26,2,2,aP26,aP26,AB6CD5_aP26_2_i_6i_i_5i,AB6CD5_aP26_2_i_6i_i_5i,3.0236,-0.935048,"['20160516_09:59:40_GMT-4', '20160516_19:01:18_GMT-4', '20210831_03:49:02_GMT-4']",3.2.11,
aflow:0114a3be8b0fb6a8,Cl4Na4O12,skipped_existing,E:\work\worklist\pull_file\aflow\aflow_cif\cif\Cl4Na4O12__ICSD__0114a3be8b0fb6a8.cif,,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Cl1Na1O3_ICSD_31168,ICSD,"Cl,Na,O",3,20,198,198,cP20,cP20,ABC3_cP20_198_a_a_b,ABC3_cP20_198_a_a_b,5.6266,-0.695655,"['20140816_16:21:21_GMT-4', '20140817_10:44:56_GMT-4', '20210901_16:21:09_GMT-4']",3.2.11,
aflow:0213ddeae14ae21a,As4Na8O14,skipped_existing,E:\work\worklist\pull_file\aflow\aflow_cif\cif\As4Na8O14__ICSD__0213ddeae14ae21a.cif,,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/MCLC/As2Na4O7_ICSD_2887,ICSD,"As,Na,O",3,26,15,15,mS52,mS52,A2B4C7_mC52_15_f_2f_e3f,A2B4C7_mC52_15_f_2f_e3f,3.2115,-1.66021,"['20140609_14:35:34_GMT-5', '20140610_08:37:12_GMT-5', '20210617_13:20:19_GMT-5']",3.2.9,
aflow:0231893ea7a7b1d8,F20Na4Te4,skipped_existing,E:\work\worklist\pull_file\aflow\aflow_cif\cif\F20Na4Te4__ICSD__0231893ea7a7b1d8.cif,,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/F5Na1Te1_ICSD_202879,ICSD,"F,Na,Te",3,28,62,62,oP28,oP28,A5BC_oP28_62_c2d_c_c,A5BC_oP28_62_c2d_c_c,5.2523,-2.39394,"['20150122_16:19:01_GMT-5', '20150123_16:16:45_GMT-5', '20210529_10:25:12_GMT-5']",3.2.9,
aflow:02644d53dcfe5ecc,H6Na2O10S2,skipped_existing,E:\work\worklist\pull_file\aflow\aflow_cif\cif\H6Na2O10S2__ICSD__02644d53dcfe5ecc.cif,,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/MCLC/H3Na1O5S1_ICSD_28259,ICSD,"H,Na,O,S",4,20,9,9,mS40,mS40,A3BC5D_mC40_9_3a_a_5a_a,A3BC5D_mC40_9_3a_a_5a_a,5.3953,-1.38824,"['20140907_17:34:59_GMT-4', '20140910_16:47:34_GMT-4', '20210902_13:41:56_GMT-4']",3.2.11,
aflow:02a4ade811aad003,H8Na4O16Se4,skipped_existing,E:\work\worklist\pull_file\aflow\aflow_cif\cif\H8Na4O16Se4__ICSD__02a4ade811aad003.cif,,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/H4Na2O8Se2_ICSD_71786,ICSD,"H,Na,O,Se",4,32,36,36,oS64,oS64,A2BC4D_oC64_36_2ab_b_4a2b_2a,A2BC4D_oC64_36_2ab_b_4a2b_2a,4.087,-1.12802,"['20150121_04:58:37_GMT-5', '20150122_17:37:18_GMT-5', '20210831_08:54:02_GMT-4']",3.2.11,
aflow:05bfcf97d247a144,B6Na6O24Si6,skipped_existing,E:\work\worklist\pull_file\aflow\aflow_cif\cif\B6Na6O24Si6__ICSD__05bfcf97d247a144.cif,,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/B1Na1O4Si1_ICSD_39459,ICSD,"B,Na,O,Si",4,42,173,173,hP42,hP42,ABC4D_hP42_173_c_a2b_4c_c,ABC4D_hP42_173_c_a2b_4c_c,5.4177,-2.5328,"['20140617_16:28:57_GMT-5', '20140618_17:25:59_GMT-5', '20210615_01:01:08_GMT-5']",3.2.9,
aflow:07f23cc5fbce7ebe,Ge4Na12Se14,skipped_existing,E:\work\worklist\pull_file\aflow\aflow_cif\cif\Ge4Na12Se14__ICSD__07f23cc5fbce7ebe.cif,,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/MCLC/Ge2Na6Se7_ICSD_57089,ICSD,"Ge,Na,Se",3,30,15,15,mS60,mS60,A2B6C7_mC60_15_f_ce2f_e3f,A2B6C7_mC60_15_f_ce2f_e3f,1.5811,-0.851993,"['20161001_19:20:23_GMT-5', '20161003_20:27:27_GMT-5', '20210528_04:16:00_GMT-5']",3.2.9,
aflow:0829b806a030f352,C4H4Na4O12,skipped_existing,E:\work\worklist\pull_file\aflow\aflow_cif\cif\C4H4Na4O12__ICSD__0829b806a030f352.cif,,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/MCL/C2H2Na2O6_ICSD_246301,ICSD,"C,H,Na,O",4,24,14,14,mP24,mP24,ABCD3_mP24_14_e_e_e_3e,ABCD3_mP24_14_e_e_e_3e,3.1734,-1.22851,"['20120428_05:29:16_GMT-4', '20120429_01:08:06_GMT-4', '20210901_11:40:01_GMT-4']",3.2.11,
aflow:087ea7044bb3ae3c,C4H6Na2O10,skipped_existing,E:\work\worklist\pull_file\aflow\aflow_cif\cif\C4H6Na2O10__ICSD__087ea7044bb3ae3c.cif,,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TRI/C2H3Na1O5_ICSD_186554,ICSD,"C,H,Na,O",4,22,2,2,aP22,aP22,A2B3CD5_aP22_2_2i_3i_i_5i,A2B3CD5_aP22_2_2i_3i_i_5i,3.2276,-1.24534,"['20160127_16:08:36_GMT-5', '20160129_03:57:00_GMT-5', '20210831_05:52:03_GMT-4']",3.2.11,
