auid,compound,status,output_file,source_file,source_url,aurl,catalog,species,nspecies,natoms,spacegroup_orig,spacegroup_relax,pearson_orig,pearson_relax,prototype_orig,prototype_relax,band_gap_eV,formation_enthalpy_eV_atom,aflowlib_date,aflowlib_version,error
aflow:0502a3031799f5f3,Na2O24P6Sn4,downloaded,E:\work\worklist\pull_file\aflow_nasicon\cif\Na2O24P6Sn4__ICSD__0502a3031799f5f3.cif,Na1O12P3Sn2_ICSD_72216.cif,https://aflowlib.duke.edu/AFLOWDATA/ICSD_WEB/TRI/Na1O12P3Sn2_ICSD_72216/Na1O12P3Sn2_ICSD_72216.cif,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TRI/Na1O12P3Sn2_ICSD_72216,ICSD,"Na,O,P,Sn",4,36,1,148,aP36,hR36,AB12C3D2_aP36_1_2a_24a_6a_4a,AB12C3D2_hR36_148_ab_4f_f_2c,2.7655,None,"['20170423_03:31:46_GMT-4', '20170424_10:50:09_GMT-4', '20210831_05:55:42_GMT-4']",3.2.11,
aflow:064ebd8594ead917,F2Na2O8P2Y2,downloaded,E:\work\worklist\pull_file\aflow_nasicon\cif\F2Na2O8P2Y2__ICSD__064ebd8594ead917.cif,F1Na1O4P1Y1_ICSD_51463.cif,https://aflowlib.duke.edu/AFLOWDATA/ICSD_WEB/MCLC/F1Na1O4P1Y1_ICSD_51463/F1Na1O4P1Y1_ICSD_51463.cif,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/MCLC/F1Na1O4P1Y1_ICSD_51463,ICSD,"F,Na,O,P,Y",5,16,12,12,mS32,mS32,ABC4DE_mC32_12_i_g_2ij_i_i,ABC4DE_mC32_12_i_g_2ij_i_i,5.491,-2.97026,"['20100911_18:57:47_GMT-4', '20100911_19:39:26_GMT-4', '20210902_11:20:23_GMT-4']",3.2.11,
aflow:0b9e1881f57f64cc,Na8O24P6Sc4,downloaded,E:\work\worklist\pull_file\aflow_nasicon\cif\Na8O24P6Sc4__ICSD__0b9e1881f57f64cc.cif,Na4O12P3Sc2_ICSD_202833.cif,https://aflowlib.duke.edu/AFLOWDATA/ICSD_WEB/MCLC/Na4O12P3Sc2_ICSD_202833/Na4O12P3Sc2_ICSD_202833.cif,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/MCLC/Na4O12P3Sc2_ICSD_202833,ICSD,"Na,O,P,Sc",4,42,15,167,mS84,hR42,A4B12C3D2_mC84_15_aef_6f_ef_f,A4B12C3D2_hR42_167_be_2f_e_c,0,None,"['20130319_14:31:43_GMT-4', '20130325_16:34:33_GMT-4', '20210902_15:16:11_GMT-4']",3.2.11,
aflow:0e95ae61382459cf,Na4Nb8O32P4,downloaded,E:\work\worklist\pull_file\aflow_nasicon\cif\Na4Nb8O32P4__ICSD__0e95ae61382459cf.cif,Na4Nb8O32P4_ICSD_80653.cif,https://aflowlib.duke.edu/AFLOWDATA/ICSD_WEB/MCL/Na4Nb8O32P4_ICSD_80653/Na4Nb8O32P4_ICSD_80653.cif,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/MCL/Na4Nb8O32P4_ICSD_80653,ICSD,"Na,Nb,O,P",4,48,4,4,mP48,mP48,AB2C8D_mP48_4_2a_4a_16a_2a,AB2C8D_mP48_4_2a_4a_16a_2a,2.2858,None,"['20180418_20:54:35_GMT-4', '20180421_03:04:30_GMT-4', '20210901_01:55:47_GMT-4']",3.2.11,
aflow:0f12af4e8e6045c0,N4Na12O36P12Ti4,downloaded,E:\work\worklist\pull_file\aflow_nasicon\cif\N4Na12O36P12Ti4__ICSD__0f12af4e8e6045c0.cif,N1Na3O9P3Ti1_ICSD_172056.cif,https://aflowlib.duke.edu/AFLOWDATA/ICSD_WEB/CUB/N1Na3O9P3Ti1_ICSD_172056/N1Na3O9P3Ti1_ICSD_172056.cif,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/N1Na3O9P3Ti1_ICSD_172056,ICSD,"N,Na,O,P,Ti",5,68,198,198,cP68,cP68,AB3C9D3E_cP68_198_a_3a_3b_b_a,AB3C9D3E_cP68_198_a_3a_3b_b_a,2.9659,None,"['20130409_10:52:17_GMT-4', '20130413_08:01:21_GMT-4', '20210901_13:22:44_GMT-4']",3.2.11,
aflow:1569847d9acac785,Na2O14P4Y2,downloaded,E:\work\worklist\pull_file\aflow_nasicon\cif\Na2O14P4Y2__ICSD__1569847d9acac785.cif,Na1O7P2Y1_ICSD_83657.cif,https://aflowlib.duke.edu/AFLOWDATA/ICSD_WEB/MCL/Na1O7P2Y1_ICSD_83657/Na1O7P2Y1_ICSD_83657.cif,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/MCL/Na1O7P2Y1_ICSD_83657,ICSD,"Na,O,P,Y",4,22,4,4,mP22,mP22,AB7C2D_mP22_4_a_7a_2a_a,AB7C2D_mP22_4_a_7a_2a_a,5.2755,-2.6949,"['20150114_08:19:37_GMT-5', '20150115_17:31:33_GMT-5', '20210901_11:53:07_GMT-4']",3.2.11,
aflow:17d820a59e4ffc7d,Fe2Na6O16P4,downloaded,E:\work\worklist\pull_file\aflow_nasicon\cif\Fe2Na6O16P4__ICSD__17d820a59e4ffc7d.cif,Fe1Na3O8P2_ICSD_85558.cif,https://aflowlib.duke.edu/AFLOWDATA/ICSD_WEB/MCLC/Fe1Na3O8P2_ICSD_85558/Fe1Na3O8P2_ICSD_85558.cif,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/MCLC/Fe1Na3O8P2_ICSD_85558,ICSD,"Fe,Na,O,P",4,28,15,15,mS56,mS56,AB3C8D2_mC56_15_c_ef_4f_f,AB3C8D2_mC56_15_c_ef_4f_f,2.2336,None,"['20160621_07:51:47_GMT-4', '20160622_11:34:00_GMT-4', '20210902_16:58:01_GMT-4']",3.2.11,
aflow:1be7950739d68923,Fe6Na6O32P8,downloaded,E:\work\worklist\pull_file\aflow_nasicon\cif\Fe6Na6O32P8__ICSD__1be7950739d68923.cif,Fe3Na3O16P4_ICSD_95532.cif,https://aflowlib.duke.edu/AFLOWDATA/ICSD_WEB/MCLC/Fe3Na3O16P4_ICSD_95532/Fe3Na3O16P4_ICSD_95532.cif,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/MCLC/Fe3Na3O16P4_ICSD_95532,ICSD,"Fe,Na,O,P",4,52,15,15,mS104,mS104,A3B3C16D4_mC104_15_cf_ef_8f_2f,A3B3C16D4_mC104_15_cf_ef_8f_2f,2.0579,None,"['20170807_11:16:27_GMT-4', '20170810_14:11:25_GMT-4', '20210902_10:54:47_GMT-4']",3.2.11,
aflow:231e0f3bd1f59574,Na2O24P6Ti4,downloaded,E:\work\worklist\pull_file\aflow_nasicon\cif\Na2O24P6Ti4__ICSD__231e0f3bd1f59574.cif,Na1O12P3Ti2_ICSD_203038.cif,https://aflowlib.duke.edu/AFLOWDATA/ICSD_WEB/RHL/Na1O12P3Ti2_ICSD_203038/Na1O12P3Ti2_ICSD_203038.cif,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/RHL/Na1O12P3Ti2_ICSD_203038,ICSD,"Na,O,P,Ti",4,36,167,167,hR36,hR36,AB12C3D2_hR36_167_b_2f_e_c,AB12C3D2_hR36_167_b_2f_e_c,2.8523,None,"['20170420_14:09:11_GMT-4', '20170420_23:40:46_GMT-4', '20210830_22:02:46_GMT-4']",3.2.11,
aflow:2919607709cecd5c,In4Na6O24P6,downloaded,E:\work\worklist\pull_file\aflow_nasicon\cif\In4Na6O24P6__ICSD__2919607709cecd5c.cif,In2Na3O12P3_ICSD_84776.cif,https://aflowlib.duke.edu/AFLOWDATA/ICSD_WEB/MCLC/In2Na3O12P3_ICSD_84776/In2Na3O12P3_ICSD_84776.cif,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/MCLC/In2Na3O12P3_ICSD_84776,ICSD,"In,Na,O,P",4,40,15,15,mS80,mS80,A2B3C12D3_mC80_15_f_c2e_6f_ef,A2B3C12D3_mC80_15_f_c2e_6f_ef,3.3605,None,"['20170511_13:17:33_GMT-4', '20170512_02:07:19_GMT-4', '20210902_14:54:29_GMT-4']",3.2.11,
