auid,compound,status,output_file,source_file,source_url,aurl,catalog,species,nspecies,natoms,spacegroup_orig,spacegroup_relax,pearson_orig,pearson_relax,prototype_orig,prototype_relax,band_gap_eV,formation_enthalpy_eV_atom,aflowlib_date,aflowlib_version,error
aflow:05590951fb33b2c6,Na1S2Tb1,skipped_existing,E:\work\worklist\pull_file\aflow_sulfides\cif\Na1S2Tb1__ICSD__05590951fb33b2c6.cif,,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/RHL/Na1S2Tb1_ICSD_644985,ICSD,"Na,S,Tb",3,4,166,166,hR4,hR4,AB2C_hR4_166_b_c_a,AB2C_hR4_166_b_c_a,2.2657,None,"['20140927_01:57:45_GMT-4', '20140927_12:19:05_GMT-4', '20210817_20:40:09_GMT-4']",3.2.11,
aflow:07b31f635ab21e8a,Cr1Na1S2,skipped_existing,E:\work\worklist\pull_file\aflow_sulfides\cif\Cr1Na1S2__ICSD__07b31f635ab21e8a.cif,,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/RHL/Cr1Na1S2_ICSD_42389,ICSD,"Cr,Na,S",3,4,166,166,hR4,hR4,ABC2_hR4_166_a_b_c,ABC2_hR4_166_a_b_c,1.293,None,"['20140730_09:43:31_GMT-4', '20140731_14:34:57_GMT-4', '20210818_05:48:42_GMT-4']",3.2.11,
aflow:0964ed87cd723a77,Cu4Na4S12Ti4,skipped_existing,E:\work\worklist\pull_file\aflow_sulfides\cif\Cu4Na4S12Ti4__ICSD__0964ed87cd723a77.cif,,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Cu1Na1S3Ti1_ICSD_73886,ICSD,"Cu,Na,S,Ti",4,24,62,62,oP24,oP24,ABC3D_oP24_62_c_c_3c_c,ABC3D_oP24_62_c_c_3c_c,0.4973,None,"['20141203_17:33:17_GMT-5', '20141204_21:32:08_GMT-5', '20210815_23:29:10_GMT-4']",3.2.11,
aflow:0976aa379b0dc116,Co2Na12S8,skipped_existing,E:\work\worklist\pull_file\aflow_sulfides\cif\Co2Na12S8__ICSD__0976aa379b0dc116.cif,,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Co1Na6S4_ICSD_37012,ICSD,"Co,Na,S",3,22,186,186,hP22,hP22,AB6C4_hP22_186_b_2c_bc,AB6C4_hP22_186_b_2c_bc,2.1866,None,"['20140722_15:10:14_GMT-4', '20140725_06:19:51_GMT-4', '20210816_06:20:57_GMT-4']",3.2.11,
aflow:09a00f61668cfbfb,Na1S2Sn1,skipped_existing,E:\work\worklist\pull_file\aflow_sulfides\cif\Na1S2Sn1__ICSD__09a00f61668cfbfb.cif,,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/RHL/Na1S2Sn1_ICSD_23450,ICSD,"Na,S,Sn",3,4,166,166,hR4,hR4,AB2C_hR4_166_b_c_a,AB2C_hR4_166_b_c_a,0,None,"['20141210_13:53:42_GMT-5', '20141211_08:13:26_GMT-5', '20210817_13:49:27_GMT-4']",3.2.11,
aflow:0b32099d9bea0174,Na8S16,skipped_existing,E:\work\worklist\pull_file\aflow_sulfides\cif\Na8S16__ICSD__0b32099d9bea0174.cif,,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Na2S4_ICSD_644957,ICSD,"Na,S",2,24,122,122,tI48,tI48,AB2_tI48_122_cd_2e,AB2_tI48_122_cd_2e,1.9987,-0.587782,"['20151010_10:41:11_GMT-5', '20151011_08:58:30_GMT-5', '20210521_17:55:39_GMT-5']",3.2.9,
aflow:0e6cd1ae0109c5c4,Na4S4,skipped_existing,E:\work\worklist\pull_file\aflow_sulfides\cif\Na4S4__ICSD__0e6cd1ae0109c5c4.cif,,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Na1S1_ICSD_644958,ICSD,"Na,S",2,8,194,194,hP8,hP8,AB_hP8_194_ac_f,AB_hP8_194_ac_f,1.2368,-0.834597,"['20150105_23:58:14_GMT-5', '20150106_01:52:06_GMT-5', '20210616_15:30:38_GMT-5']",3.2.9,
aflow:0fa56b04b2eafbc2,Na4S6U2,skipped_existing,E:\work\worklist\pull_file\aflow_sulfides\cif\Na4S6U2__ICSD__0fa56b04b2eafbc2.cif,,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/MCLC/Na2S3U1_ICSD_88097,ICSD,"Na,S,U",3,12,12,12,mS24,mS24,A2B3C_mC24_12_ach_ij_g,A2B3C_mC24_12_ach_ij_g,0,None,"['20141028_21:52:52_GMT-4', '20141101_07:40:24_GMT-4', '20210817_07:17:40_GMT-4']",3.2.11,
aflow:117a365d8c18deea,Na2Pb1S1,skipped_existing,E:\work\worklist\pull_file\aflow_sulfides\cif\Na2Pb1S1__LIB3__117a365d8c18deea.cif,,,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/Na_svPb_dS/T0001.A2BC,LIB3,"Na,Pb,S",3,4,225,225,cF16,cF16,A2BC_cF16_225_c_a_b,A2BC_cF16_225_c_a_b,0,-0.206288,20200611_14:46:45_GMT-5,3.2.3,
aflow:12a2db03c3f3f3c0,Na2Nb2S4,skipped_existing,E:\work\worklist\pull_file\aflow_sulfides\cif\Na2Nb2S4__ICSD__12a2db03c3f3f3c0.cif,,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Na1Nb1S2_ICSD_26285,ICSD,"Na,Nb,S",3,8,194,194,hP8,hP8,ABC2_hP8_194_a_b_f,ABC2_hP8_194_a_b_f,0.64,None,"['20150122_02:39:23_GMT-5', '20150122_09:10:48_GMT-5', '20210816_08:08:56_GMT-4']",3.2.11,
